feature,readable_feature,coefficient,abs_coefficient,direction,coefficient_meaning,insight_group,business_meaning,expected_direction,stage3_evidence
categorical__night_unusual_group_not_night,night_unusual_group=not_night,1.16065167621976,1.16065167621976,increase_risk,Làm tăng log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
categorical__amount_to_max_group_below_half_max,amount_to_max_group=below_half_max,0.8842145361855926,0.8842145361855926,increase_risk,Làm tăng log-odds fraud risk,Amount anomaly,Giao dịch hiện tại lệch so với lịch sử amount của user.,amount_z_30d cao hoặc các interaction với high_max_amount_30d thường làm tăng risk.,Giai đoạn 3 cho thấy high_max_amount_30d và một số amount group có lift cao hơn baseline.
categorical__amount_to_max_group_extreme,amount_to_max_group=extreme,-0.8028351730237708,0.8028351730237708,decrease_risk,Làm giảm log-odds fraud risk,Amount anomaly,Giao dịch hiện tại lệch so với lịch sử amount của user.,amount_z_30d cao hoặc các interaction với high_max_amount_30d thường làm tăng risk.,Giai đoạn 3 cho thấy high_max_amount_30d và một số amount group có lift cao hơn baseline.
numeric__mcc_entropy_30d,mcc_entropy_30d,-0.7104319361584585,0.7104319361584585,decrease_risk,Làm giảm log-odds fraud risk,MCC behavior anomaly,"User có lịch sử ngành hàng/MCC ít đa dạng. Khi hành vi ngành hàng hẹp kết hợp với tín hiệu bất thường khác, fraud risk tăng.",mcc_entropy_30d cao thường giảm risk; low_mcc_entropy flag/interaction thường tăng risk.,Giai đoạn 3 cho thấy low_mcc_entropy và very_low_mcc_entropy là các segment có lift cao và ổn định.
interaction__low_mcc_entropy_x_high_max_amount_30d,low_mcc_entropy_x_high_max_amount_30d,0.678902251851748,0.678902251851748,increase_risk,Làm tăng log-odds fraud risk,MCC behavior anomaly,"User có lịch sử ngành hàng/MCC ít đa dạng. Khi hành vi ngành hàng hẹp kết hợp với tín hiệu bất thường khác, fraud risk tăng.",mcc_entropy_30d cao thường giảm risk; low_mcc_entropy flag/interaction thường tăng risk.,Giai đoạn 3 cho thấy low_mcc_entropy và very_low_mcc_entropy là các segment có lift cao và ổn định.
binary__night_transaction_flag,night_transaction_flag,0.6663100531202444,0.6663100531202444,increase_risk,Làm tăng log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
numeric__amount_z_30d,amount_z_30d,0.6648336233574242,0.6648336233574242,increase_risk,Làm tăng log-odds fraud risk,Amount anomaly,Giao dịch hiện tại lệch so với lịch sử amount của user.,amount_z_30d cao hoặc các interaction với high_max_amount_30d thường làm tăng risk.,Giai đoạn 3 cho thấy high_max_amount_30d và một số amount group có lift cao hơn baseline.
interaction__low_mcc_entropy_x_low_spending_trend,low_mcc_entropy_x_low_spending_trend,0.6614242643410929,0.6614242643410929,increase_risk,Làm tăng log-odds fraud risk,MCC behavior anomaly,"User có lịch sử ngành hàng/MCC ít đa dạng. Khi hành vi ngành hàng hẹp kết hợp với tín hiệu bất thường khác, fraud risk tăng.",mcc_entropy_30d cao thường giảm risk; low_mcc_entropy flag/interaction thường tăng risk.,Giai đoạn 3 cho thấy low_mcc_entropy và very_low_mcc_entropy là các segment có lift cao và ổn định.
interaction__low_night_ratio_x_high_max_amount_30d,low_night_ratio_x_high_max_amount_30d,0.6111605967861102,0.6111605967861102,increase_risk,Làm tăng log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
categorical__night_unusual_group_very_high,night_unusual_group=very_high,-0.5948360149425622,0.5948360149425622,decrease_risk,Làm giảm log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
numeric__night_ratio_30d,night_ratio_30d,-0.5881948441435797,0.5881948441435797,decrease_risk,Làm giảm log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
categorical__amount_to_max_group_much_above_max,amount_to_max_group=much_above_max,-0.5650101672889687,0.5650101672889687,decrease_risk,Làm giảm log-odds fraud risk,Amount anomaly,Giao dịch hiện tại lệch so với lịch sử amount của user.,amount_z_30d cao hoặc các interaction với high_max_amount_30d thường làm tăng risk.,Giai đoạn 3 cho thấy high_max_amount_30d và một số amount group có lift cao hơn baseline.
numeric__spending_trend,spending_trend,-0.5371342953938955,0.5371342953938955,decrease_risk,Làm giảm log-odds fraud risk,Spending trend anomaly,Xu hướng chi tiêu thấp hoặc giảm có thể phản ánh hành vi bất thường khi kết hợp với các tín hiệu khác.,spending_trend cao thường giảm risk; low_spending_trend flag/interaction tăng risk.,Giai đoạn 3 cho thấy spending_trend thấp có lift ổn định.
categorical__time_period_evening,time_period=evening,-0.5351489138992287,0.5351489138992287,decrease_risk,Làm giảm log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
interaction__low_mcc_entropy_x_low_night_ratio_x_card_not_present,low_mcc_entropy_x_low_night_ratio_x_card_not_present,0.4245018848431727,0.4245018848431727,increase_risk,Làm tăng log-odds fraud risk,MCC behavior anomaly,"User có lịch sử ngành hàng/MCC ít đa dạng. Khi hành vi ngành hàng hẹp kết hợp với tín hiệu bất thường khác, fraud risk tăng.",mcc_entropy_30d cao thường giảm risk; low_mcc_entropy flag/interaction thường tăng risk.,Giai đoạn 3 cho thấy low_mcc_entropy và very_low_mcc_entropy là các segment có lift cao và ổn định.
numeric__distinct_countries_30d,distinct_countries_30d,-0.4198564762680807,0.4198564762680807,decrease_risk,Làm giảm log-odds fraud risk,Country / cross-border behavior,Hành vi giao dịch theo quốc gia và mức độ đa dạng quốc gia của user.,distinct_countries_30d cao thường giảm risk; low_country_diversity hoặc cross-border interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_country_diversity là segment có lift cao.
categorical__amount_to_max_group_above_max,amount_to_max_group=above_max,-0.4156275145818268,0.4156275145818268,decrease_risk,Làm giảm log-odds fraud risk,Amount anomaly,Giao dịch hiện tại lệch so với lịch sử amount của user.,amount_z_30d cao hoặc các interaction với high_max_amount_30d thường làm tăng risk.,Giai đoạn 3 cho thấy high_max_amount_30d và một số amount group có lift cao hơn baseline.
interaction__low_mcc_entropy_x_low_night_ratio,low_mcc_entropy_x_low_night_ratio,0.4154508914819279,0.4154508914819279,increase_risk,Làm tăng log-odds fraud risk,MCC behavior anomaly,"User có lịch sử ngành hàng/MCC ít đa dạng. Khi hành vi ngành hàng hẹp kết hợp với tín hiệu bất thường khác, fraud risk tăng.",mcc_entropy_30d cao thường giảm risk; low_mcc_entropy flag/interaction thường tăng risk.,Giai đoạn 3 cho thấy low_mcc_entropy và very_low_mcc_entropy là các segment có lift cao và ổn định.
categorical__night_unusual_group_high,night_unusual_group=high,-0.413851245396261,0.413851245396261,decrease_risk,Làm giảm log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
categorical__night_unusual_group_medium,night_unusual_group=medium,-0.4126920881010534,0.4126920881010534,decrease_risk,Làm giảm log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
categorical__night_ratio_group_medium,night_ratio_group=medium,-0.3845316086126151,0.3845316086126151,decrease_risk,Làm giảm log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
categorical__time_period_late_evening,time_period=late_evening,0.3791482898162033,0.3791482898162033,increase_risk,Làm tăng log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
categorical__amount_to_max_group_near_max,amount_to_max_group=near_max,0.3676565138964853,0.3676565138964853,increase_risk,Làm tăng log-odds fraud risk,Amount anomaly,Giao dịch hiện tại lệch so với lịch sử amount của user.,amount_z_30d cao hoặc các interaction với high_max_amount_30d thường làm tăng risk.,Giai đoạn 3 cho thấy high_max_amount_30d và một số amount group có lift cao hơn baseline.
binary__low_night_ratio_flag,low_night_ratio_flag,-0.3523258973902823,0.3523258973902823,decrease_risk,Làm giảm log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
categorical__ip_score_risk_group_low,ip_score_risk_group=low,-0.3477359357504802,0.3477359357504802,decrease_risk,Làm giảm log-odds fraud risk,Risk history / technical risk,"Các tín hiệu lịch sử rủi ro hoặc tín hiệu kỹ thuật như IP risk, decline rate, chargeback.","Một số tín hiệu kỹ thuật đứng riêng có thể yếu, nhưng vẫn hỗ trợ model khi kết hợp với feature khác.",Giai đoạn 3 cho thấy một số biến kỹ thuật đứng riêng không mạnh bằng behavior interaction.
categorical__time_period_afternoon,time_period=afternoon,-0.3465216026796713,0.3465216026796713,decrease_risk,Làm giảm log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
categorical__currency_KRW,currency=KRW,-0.337188898222384,0.337188898222384,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
numeric__amount_to_mean_30d,amount_to_mean_30d,-0.3290195397189692,0.3290195397189692,decrease_risk,Làm giảm log-odds fraud risk,Amount anomaly,Giao dịch hiện tại lệch so với lịch sử amount của user.,amount_z_30d cao hoặc các interaction với high_max_amount_30d thường làm tăng risk.,Giai đoạn 3 cho thấy high_max_amount_30d và một số amount group có lift cao hơn baseline.
categorical__credit_util_risk_group_very_high,credit_util_risk_group=very_high,-0.3213300541820256,0.3213300541820256,decrease_risk,Làm giảm log-odds fraud risk,Risk history / technical risk,"Các tín hiệu lịch sử rủi ro hoặc tín hiệu kỹ thuật như IP risk, decline rate, chargeback.","Một số tín hiệu kỹ thuật đứng riêng có thể yếu, nhưng vẫn hỗ trợ model khi kết hợp với feature khác.",Giai đoạn 3 cho thấy một số biến kỹ thuật đứng riêng không mạnh bằng behavior interaction.
categorical__time_period_morning,time_period=morning,-0.3162413413825738,0.3162413413825738,decrease_risk,Làm giảm log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
categorical__currency_IDR,currency=IDR,-0.3161546098195578,0.3161546098195578,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__merchant_country_JP,merchant_country=JP,-0.3116685316503473,0.3116685316503473,decrease_risk,Làm giảm log-odds fraud risk,Country / cross-border behavior,Hành vi giao dịch theo quốc gia và mức độ đa dạng quốc gia của user.,distinct_countries_30d cao thường giảm risk; low_country_diversity hoặc cross-border interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_country_diversity là segment có lift cao.
binary__low_country_diversity_flag,low_country_diversity_flag,0.3012935394866845,0.3012935394866845,increase_risk,Làm tăng log-odds fraud risk,Country / cross-border behavior,Hành vi giao dịch theo quốc gia và mức độ đa dạng quốc gia của user.,distinct_countries_30d cao thường giảm risk; low_country_diversity hoặc cross-border interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_country_diversity là segment có lift cao.
interaction__low_mcc_entropy_x_card_not_present,low_mcc_entropy_x_card_not_present,-0.2996540056887803,0.2996540056887803,decrease_risk,Làm giảm log-odds fraud risk,MCC behavior anomaly,"User có lịch sử ngành hàng/MCC ít đa dạng. Khi hành vi ngành hàng hẹp kết hợp với tín hiệu bất thường khác, fraud risk tăng.",mcc_entropy_30d cao thường giảm risk; low_mcc_entropy flag/interaction thường tăng risk.,Giai đoạn 3 cho thấy low_mcc_entropy và very_low_mcc_entropy là các segment có lift cao và ổn định.
categorical__txn_count_7d_group_0_1,txn_count_7d_group=0_1,-0.2962202234912684,0.2962202234912684,decrease_risk,Làm giảm log-odds fraud risk,Transaction velocity,Tốc độ/tần suất giao dịch gần đây của user.,"Velocity bất thường có thể hỗ trợ phát hiện fraud, nhưng cần kiểm tra cùng các tín hiệu khác.",Giai đoạn 3 khuyến nghị giữ txn_count_ratio_7d_30d như behavioral anomaly feature.
categorical__time_period_night,time_period=night,0.2871617632812011,0.2871617632812011,increase_risk,Làm tăng log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
categorical__night_unusual_group_low,night_unusual_group=low,-0.2708741326495892,0.2708741326495892,decrease_risk,Làm giảm log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
binary__high_max_amount_30d_flag,high_max_amount_30d_flag,0.2667236058740249,0.2667236058740249,increase_risk,Làm tăng log-odds fraud risk,Amount anomaly,Giao dịch hiện tại lệch so với lịch sử amount của user.,amount_z_30d cao hoặc các interaction với high_max_amount_30d thường làm tăng risk.,Giai đoạn 3 cho thấy high_max_amount_30d và một số amount group có lift cao hơn baseline.
categorical__txn_velocity_group_medium,txn_velocity_group=medium,-0.2625131495062143,0.2625131495062143,decrease_risk,Làm giảm log-odds fraud risk,Transaction velocity,Tốc độ/tần suất giao dịch gần đây của user.,"Velocity bất thường có thể hỗ trợ phát hiện fraud, nhưng cần kiểm tra cùng các tín hiệu khác.",Giai đoạn 3 khuyến nghị giữ txn_count_ratio_7d_30d như behavioral anomaly feature.
binary__cross_border_flag,cross_border_flag,-0.2549389337490619,0.2549389337490619,decrease_risk,Làm giảm log-odds fraud risk,Country / cross-border behavior,Hành vi giao dịch theo quốc gia và mức độ đa dạng quốc gia của user.,distinct_countries_30d cao thường giảm risk; low_country_diversity hoặc cross-border interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_country_diversity là segment có lift cao.
binary__very_low_mcc_entropy_flag,very_low_mcc_entropy_flag,0.2542199646045895,0.2542199646045895,increase_risk,Làm tăng log-odds fraud risk,MCC behavior anomaly,"User có lịch sử ngành hàng/MCC ít đa dạng. Khi hành vi ngành hàng hẹp kết hợp với tín hiệu bất thường khác, fraud risk tăng.",mcc_entropy_30d cao thường giảm risk; low_mcc_entropy flag/interaction thường tăng risk.,Giai đoạn 3 cho thấy low_mcc_entropy và very_low_mcc_entropy là các segment có lift cao và ổn định.
numeric__device_diversity_30d,device_diversity_30d,-0.2479914366469575,0.2479914366469575,decrease_risk,Làm giảm log-odds fraud risk,Risk history / technical risk,"Các tín hiệu lịch sử rủi ro hoặc tín hiệu kỹ thuật như IP risk, decline rate, chargeback.","Một số tín hiệu kỹ thuật đứng riêng có thể yếu, nhưng vẫn hỗ trợ model khi kết hợp với feature khác.",Giai đoạn 3 cho thấy một số biến kỹ thuật đứng riêng không mạnh bằng behavior interaction.
categorical__night_ratio_group_very_low,night_ratio_group=very_low,0.2445272912182263,0.2445272912182263,increase_risk,Làm tăng log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
categorical__merchant_country_VN,merchant_country=VN,0.2439751667509826,0.2439751667509826,increase_risk,Làm tăng log-odds fraud risk,Country / cross-border behavior,Hành vi giao dịch theo quốc gia và mức độ đa dạng quốc gia của user.,distinct_countries_30d cao thường giảm risk; low_country_diversity hoặc cross-border interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_country_diversity là segment có lift cao.
numeric__decline_rate_30d,decline_rate_30d,-0.2327954840945247,0.2327954840945247,decrease_risk,Làm giảm log-odds fraud risk,Risk history / technical risk,"Các tín hiệu lịch sử rủi ro hoặc tín hiệu kỹ thuật như IP risk, decline rate, chargeback.","Một số tín hiệu kỹ thuật đứng riêng có thể yếu, nhưng vẫn hỗ trợ model khi kết hợp với feature khác.",Giai đoạn 3 cho thấy một số biến kỹ thuật đứng riêng không mạnh bằng behavior interaction.
categorical__txn_velocity_group_low,txn_velocity_group=low,-0.2219759060900989,0.2219759060900989,decrease_risk,Làm giảm log-odds fraud risk,Transaction velocity,Tốc độ/tần suất giao dịch gần đây của user.,"Velocity bất thường có thể hỗ trợ phát hiện fraud, nhưng cần kiểm tra cùng các tín hiệu khác.",Giai đoạn 3 khuyến nghị giữ txn_count_ratio_7d_30d như behavioral anomaly feature.
categorical__auth_result_CVV_FAIL,auth_result=CVV_FAIL,-0.2125516704871359,0.2125516704871359,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__day_name_Wednesday,day_name=Wednesday,-0.2108359905280938,0.2108359905280938,decrease_risk,Làm giảm log-odds fraud risk,Other context,Feature ngữ cảnh khác. Cần đọc cùng coefficient và metric validation/test.,Không có kỳ vọng hướng cố định.,Không thuộc nhóm insight chính hoặc chưa có bằng chứng mạnh từ giai đoạn 3.
categorical__decline_rate_risk_group_medium,decline_rate_risk_group=medium,-0.2059031452076362,0.2059031452076362,decrease_risk,Làm giảm log-odds fraud risk,Risk history / technical risk,"Các tín hiệu lịch sử rủi ro hoặc tín hiệu kỹ thuật như IP risk, decline rate, chargeback.","Một số tín hiệu kỹ thuật đứng riêng có thể yếu, nhưng vẫn hỗ trợ model khi kết hợp với feature khác.",Giai đoạn 3 cho thấy một số biến kỹ thuật đứng riêng không mạnh bằng behavior interaction.
categorical__message_type_0110-AuthRsp,message_type=0110-AuthRsp,-0.203091250019694,0.203091250019694,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__message_type_0210-FinRsp,message_type=0210-FinRsp,-0.1969495829796857,0.1969495829796857,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__decline_rate_risk_group_high,decline_rate_risk_group=high,-0.1959379198251084,0.1959379198251084,decrease_risk,Làm giảm log-odds fraud risk,Risk history / technical risk,"Các tín hiệu lịch sử rủi ro hoặc tín hiệu kỹ thuật như IP risk, decline rate, chargeback.","Một số tín hiệu kỹ thuật đứng riêng có thể yếu, nhưng vẫn hỗ trợ model khi kết hợp với feature khác.",Giai đoạn 3 cho thấy một số biến kỹ thuật đứng riêng không mạnh bằng behavior interaction.
categorical__ip_score_risk_group_medium,ip_score_risk_group=medium,-0.1957327264300265,0.1957327264300265,decrease_risk,Làm giảm log-odds fraud risk,Risk history / technical risk,"Các tín hiệu lịch sử rủi ro hoặc tín hiệu kỹ thuật như IP risk, decline rate, chargeback.","Một số tín hiệu kỹ thuật đứng riêng có thể yếu, nhưng vẫn hỗ trợ model khi kết hợp với feature khác.",Giai đoạn 3 cho thấy một số biến kỹ thuật đứng riêng không mạnh bằng behavior interaction.
categorical__recurring_flag_MOTO_PHONE,recurring_flag=MOTO_PHONE,-0.1946852809640365,0.1946852809640365,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__day_name_Thursday,day_name=Thursday,-0.1859593644029412,0.1859593644029412,decrease_risk,Làm giảm log-odds fraud risk,Other context,Feature ngữ cảnh khác. Cần đọc cùng coefficient và metric validation/test.,Không có kỳ vọng hướng cố định.,Không thuộc nhóm insight chính hoặc chưa có bằng chứng mạnh từ giai đoạn 3.
categorical__card_entry_mode_CONTACTLESS,card_entry_mode=CONTACTLESS,-0.1775353334916935,0.1775353334916935,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
